Taille | Instance | Algorithme | Temps (s) | Solution | Commandes
    30 |       25 | BFS        | 0.017166 | 18       | D a1 G a3 a3 a3 a3 a3 D a3 a3 a3 a3 a3 G a3 a3 a3
    30 |       25 | Dijkstra   | 0.020294 | 18       | a3 D a3 a3 a3 G a3 a3 a3 a3 D a3 a3 a1 G a3 a3 a3
    30 |       25 | Bellman    | 0.131751 | 18       | a3 a3 D a2 G a3 a3 a3 a3 a3 D a3 a3 a3 a3 a2 G a3
    30 |       26 | BFS        | 0.002438 | 6        | D a2 D a2 a3 a3
    30 |       26 | Dijkstra   | 0.001641 | 6        | D a2 D a3 a3 a2
    30 |       26 | Bellman    | 0.252556 | 6        | D a2 D a3 a3 a2
    30 |       27 | BFS        | 0.011853 | 12       | a3 D a1 a3 a3 a3 a3 a3 a3 a3 D a3
    30 |       27 | Dijkstra   | 0.012430 | 12       | a3 D a3 a3 a3 a3 a3 a3 a3 a1 D a3
    30 |       27 | Bellman    | 0.223494 | 12       | a3 D a3 a3 a3 a3 a3 a3 a3 a1 D a3
    30 |       28 | BFS        | 0.013843 | 12       | G a2 G a2 a3 a3 a3 a3 D a2 G a3
    30 |       28 | Dijkstra   | 0.015460 | 12       | G a3 a3 G a2 a3 a3 a3 a3 a3 G a2
    30 |       28 | Bellman    | 0.140584 | 12       | G a3 a3 G a2 a3 a3 a3 a3 a3 G a2
    30 |       29 | BFS        | 0.001038 | 5        | G a1 G a2 a3
    30 |       29 | Dijkstra   | 0.001107 | 5        | G a1 G a3 a2
    30 |       29 | Bellman    | 0.219982 | 5        | G a1 G a3 a2
    30 |       30 | BFS        | 0.003564 | 8        | G G a1 a3 a3 a3 D a1
    30 |       30 | Dijkstra   | 0.005114 | 8        | D D a1 a3 a3 a3 D a1
    30 |       30 | Bellman    | 0.113724 | 8        | D D a1 a3 a3 a3 D a1
    40 |       31 | BFS        | 0.011746 | 12       | G a3 a3 a3 a3 a3 a3 a3 a3 a3 G a3
    40 |       31 | Dijkstra   | 0.011882 | 12       | G a3 a3 a3 a3 a3 a3 a3 a3 a3 G a3
    40 |       31 | Bellman    | 0.470795 | 12       | G a3 a3 a3 a3 a3 a3 a3 a3 a3 G a3
    40 |       32 | BFS        | 0.007806 | 8        | G a2 a3 a3 a3 a3 D a3
