Configuration,AUC
without SegMel,0.8161497192628069
without MFCC_deltas,0.8614396333583119
without Chroma,0.8372375894612235
without SpectralContrast,0.8528328934936305
without Rolloff,0.8147134525787638
without Bandwidth,0.8851040953963445
without RMS,0.8265131028790496
without ZCR,0.8350166704677505
without TemporalEnv,0.8081647281139022
without BoAW (3x256),0.84882546508976
without NMF (3x64),0.8497974565318911
full,0.8609292020981982
